Gene	Wave	query name	accession
Pa_1_21880	0	#N/A	#N/A
Pa_1_21890	Wave II	Peptidase_C2	PF00648.24
Pa_1_2190	0	UCR_UQCRX_QCR9	PF05365.15
Pa_1_21900	0	AA9	PF03443.17
Pa_1_21910	Wave II	Glutaredoxin	PF00462.27
Pa_1_21920	0	Pex16	PF08610.13
Pa_1_21930	0	SET	PF00856.31
Pa_1_21940	0	#N/A	#N/A
Pa_1_21950	Wave I	RPE65	PF03055.18
Pa_1_21960	Wave I	FAD_binding_4	PF01565.26
Pa_1_21970	0	GMC_oxred_C	PF05199.16
Pa_1_21980	0	bZIP_2	PF07716.18
Pa_1_21990	0	NTP_transf_9	PF04248.15
Pa_1_220	0	Cactin_mid	PF10312.12
Pa_1_2200	0	PRT6_C	PF18995.3
Pa_1_22000	0	#N/A	#N/A
Pa_1_22010	0	DEAD	PF00270.32
Pa_1_22020	0	Swi3	PF07962.15
Pa_1_22030	0	NADH_u_ox_C	PF12853.10
Pa_1_22040	0	AA9	PF03443.17
Pa_1_2205	0	PTPA	PF03095.18
Pa_1_22050	0	#N/A	#N/A
Pa_1_22060	0	Ank	PF00023.33
Pa_1_22070	0	Fungal_trans	PF04082.21
Pa_1_22080	0	zf-C2H2_jaz	PF12171.11
Pa_1_22090	0	MCP1_TM	PF07950.14
Pa_1_2210	0	RNase_PH	PF01138.24
Pa_1_22100	0	#N/A	#N/A
Pa_1_22110	0	Gpr1_Fun34_YaaH	PF01184.22
Pa_1_22120	Wave V	adh_short	PF00106.28
Pa_1_22130	0	SWIRM	PF04433.20
Pa_1_22140	0	F-box-like	PF12937.10
Pa_1_22150	0	AA9	PF03443.17
Pa_1_22160	0	SGL	PF08450.15
Pa_1_22170	Wave IV	ALGX	PF16822.8
Pa_1_22180	0	#N/A	#N/A
Pa_1_22185	Wave V	#N/A	#N/A
Pa_1_22190	0	TRAM_LAG1_CLN8	PF03798.19
Pa_1_2220	0	NAD_kinase	PF01513.24
Pa_1_22200	0	RRM_1	PF00076.25
Pa_1_22210	0	#N/A	#N/A
Pa_1_22220	0	Septin	PF00735.21
Pa_1_22230	0	Cauli_VI	PF01693.19
Pa_1_22240	0	Bax1-I	PF01027.23
Pa_1_22250	0	DLIC	PF05783.14
Pa_1_22260	0	Thioredox_DsbH	PF03190.18
Pa_1_22270	0	CAP	PF00188.29
Pa_1_22280	0	CHCH	PF06747.16
Pa_1_22290	0	Nup54	PF13874.9
Pa_1_2230	0	Homeodomain	PF00046.32
Pa_1_22300	0	Aminotran_5	PF00266.22
Pa_1_22310	0	ANAPC4_WD40	PF12894.10
Pa_1_22320	0	DUF4215	PF13948.9
Pa_1_22330	0	#N/A	#N/A
Pa_1_22340	Wave II	#N/A	#N/A
Pa_1_22350	Wave V	ADH_N	PF08240.15
Pa_1_22360	0	#N/A	#N/A
Pa_1_22370	0	KGG	PF10685.12
Pa_1_22375	0	#N/A	#N/A
Pa_1_22390	0	#N/A	#N/A
Pa_1_2240	0	#N/A	#N/A
Pa_1_22400	Wave II	#N/A	#N/A
Pa_1_22410	0	HET	PF06985.14
Pa_1_22420	0	AAA	PF00004.32
Pa_1_22440	0	#N/A	#N/A
Pa_1_22450	0	Sas10_Utp3	PF04000.18
Pa_1_22460	0	EMP70	PF02990.19
Pa_1_22470	0	Med4	PF10018.12
Pa_1_22480	0	QCR10	PF09796.12
Pa_1_22490	0	DIE2_ALG10	PF04922.15
Pa_1_2250	Wave II	Glyco_hydro_18	PF00704.31
Pa_1_22500	0	#N/A	#N/A
Pa_1_22505	0	#N/A	#N/A
Pa_1_22510	Wave II	NmrA	PF05368.16
Pa_1_22520	0	HPPK	PF01288.23
Pa_1_22530	0	FMN_dh	PF01070.21
Pa_1_22540	0	#N/A	#N/A
Pa_1_22550	0	Reticulon	PF02453.20
Pa_1_22560	0	RabGAP-TBC	PF00566.21
Pa_1_22570	0	#N/A	#N/A
Pa_1_22580	0	Lipase_GDSL	PF00657.25
Pa_1_22590	0	Aminotran_1_2	PF00155.24
Pa_1_2260	0	UBA	PF00627.34
Pa_1_22600	Wave IV	Glyco_hydro_76	PF03663.17
Pa_1_22610	0	#N/A	#N/A
Pa_1_22615	0	#N/A	#N/A
Pa_1_22620	0	MscL	PF01741.21
Pa_1_22630	0	DNA_gyraseB	PF00204.28
Pa_1_22640	Wave II	#N/A	#N/A
Pa_1_22650	0	TPR_1	PF00515.31
Pa_1_22660	0	MFS_1	PF07690.19
Pa_1_22665	0	#N/A	#N/A
Pa_1_22670	0	Inositol_P	PF00459.28
Pa_1_22680	0	#N/A	#N/A
Pa_1_22690	0	His_Phos_2	PF00328.25
Pa_1_2270	0	Mpv17_PMP22	PF04117.15
Pa_1_22700	0	#N/A	#N/A
Pa_1_22710	0	Sec62	PF03839.19
Pa_1_22720	0	Tyr-DNA_phospho	PF06087.15
Pa_1_22730	0	Thioredoxin	PF00085.23
Pa_1_22740	0	#N/A	#N/A
Pa_1_22750	0	PLDc	PF00614.25
Pa_1_22760	0	ACBP	PF00887.22
Pa_1_22770	0	Pyr_redox	PF00070.30
Pa_1_22780	0	EF-hand_1	PF00036.35
Pa_1_22790	0	#N/A	#N/A
Pa_1_2280	0	UDPGP	PF01704.21
Pa_1_22800	0	#N/A	#N/A
Pa_1_22810	Wave IV	SLATT_fungal	PF18142.4
Pa_1_22820	0	TRM	PF02005.19
Pa_1_22830	0	DAGK_cat	PF00781.27
Pa_1_22840	Wave II	MFS_1	PF07690.19
Pa_1_22850	0	Acetyltransf_1	PF00583.28
Pa_1_22860	0	AAA_21	PF13304.9
Pa_1_22870	0	#N/A	#N/A
Pa_1_22880	0	ArfGap	PF01412.21
Pa_1_22890	0	Coa1	PF08695.13
Pa_1_2290	0	UDG	PF03167.22
Pa_1_22900	0	Bromodomain	PF00439.28
Pa_1_22910	0	#N/A	#N/A
Pa_1_22920	0	NDT80_PhoG	PF05224.15
Pa_1_22930	0	zf-C2H2	PF00096.29
Pa_1_22940	0	AAA_25	PF13481.9
Pa_1_22950	0	GRAM	PF02893.23
Pa_1_22960	0	#N/A	#N/A
Pa_1_22970	0	IBN_N	PF03810.22
Pa_1_22980	0	LSM	PF01423.25
Pa_1_22990	0	5-FTHF_cyc-lig	PF01812.23
Pa_1_230	0	Forkhead	PF00250.21
Pa_1_2300	0	Methyltransf_11	PF08241.15
Pa_1_23000	0	OPT	PF03169.18
Pa_1_23010	0	#N/A	#N/A
Pa_1_23020	0	Fungal_trans	PF04082.21
Pa_1_23030	0	PHP	PF02811.22
Pa_1_23035	0	ACPS	PF01648.23
Pa_1_23040	0	DUF1774	PF08611.13
Pa_1_23050	0	Clr5	PF14420.9
Pa_1_23060	Wave IV	GMC_oxred_C	PF05199.16
Pa_1_23070	0	PHM7_cyt	PF14703.9
Pa_1_23080	0	#N/A	#N/A
Pa_1_23090	0	#N/A	#N/A
Pa_1_2310	0	AA_permease_2	PF13520.9
Pa_1_23100	0	WSC	PF01822.22
Pa_1_23110	0	AAA	PF00004.32
Pa_1_23120	0	#N/A	#N/A
Pa_1_23130	0	GCP_C_terminal	PF04130.16
Pa_1_23140	0	Senescence	PF06911.15
Pa_1_23150	0	Fungal_trans	PF04082.21
Pa_1_23155	0	#N/A	#N/A
Pa_1_23160	0	Hist_deacetyl	PF00850.22
Pa_1_23170	Wave II	#N/A	#N/A
Pa_1_23180	0	2EXR	PF20150.2
Pa_1_23190	0	TGT	PF01702.21
Pa_1_2320	0	NAPRTase	PF04095.19
Pa_1_23200	0	Mit_ribos_Mrp51	PF11709.11
Pa_1_23210	0	Ribosomal_S17e	PF00833.21
Pa_1_23220	0	RPAP2_Rtr1	PF04181.16
Pa_1_23230	0	SH3_1	PF00018.31
Pa_1_23240	0	Abhydrolase_1	PF00561.23
Pa_1_23250	0	Spo7	PF03907.16
Pa_1_23260	0	DSPc	PF00782.23
Pa_1_23270	0	Abhydrolase_1	PF00561.23
Pa_1_23280	0	Tho2	PF11262.11
Pa_1_23290	0	#N/A	#N/A
Pa_1_2330	0	ANAPC4_WD40	PF12894.10
Pa_1_23300	0	Acyl_transf_1	PF00698.24
Pa_1_23310	0	ACPS	PF01648.23
Pa_1_23320	0	Amidohydro_1	PF01979.23
Pa_1_23330	0	#N/A	#N/A
Pa_1_23340	0	#N/A	#N/A
Pa_1_23350	0	Asparaginase	PF00710.23
Pa_1_23354	0	#N/A	#N/A
Pa_1_23357	Wave IV	#N/A	#N/A
Pa_1_23358	0	#N/A	#N/A
Pa_1_23360	0	DUF3176	PF11374.11
Pa_1_23370	0	CFEM	PF05730.14
Pa_1_23380	0	DEAD	PF00270.32
Pa_1_23390	0	Sad1_UNC	PF07738.16
Pa_1_2340	0	Rad4	PF03835.18
Pa_1_23400	0	3Beta_HSD	PF01073.22
Pa_1_23410	0	ADH_zinc_N	PF00107.29
Pa_1_23420	0	Ank	PF00023.33
Pa_1_23430	0	MFS_1	PF07690.19
Pa_1_23440	0	Transp_cyt_pur	PF02133.18
Pa_1_23450	0	#N/A	#N/A
Pa_1_23455	0	#N/A	#N/A
Pa_1_23460	0	HLH	PF00010.29
Pa_1_23470	Wave II	STAS	PF01740.24
Pa_1_23480	0	Anthrone_oxy	PF08592.14
Pa_1_23490	0	AAA	PF00004.32
Pa_1_2350	0	#N/A	#N/A
Pa_1_23500	0	Sulf_transp	PF04143.17
Pa_1_23510	0	Lactamase_B	PF00753.30
Pa_1_23520	0	p450	PF00067.25
Pa_1_23530	0	Kelch_5	PF13854.9
Pa_1_23540	0	#N/A	#N/A
Pa_1_23550	0	NmrA	PF05368.16
Pa_1_23560	0	NmrA	PF05368.16
Pa_1_23570	0	Fungal_trans	PF04082.21
Pa_1_23580	0	DcpS	PF05652.15
Pa_1_23590	0	#N/A	#N/A
Pa_1_2360	0	HVSL	PF09749.12
Pa_1_23600	0	Ribonuc_L-PSP	PF01042.24
Pa_1_23610	0	#N/A	#N/A
Pa_1_23620	0	SMC_Nse1	PF07574.16
Pa_1_23630	0	#N/A	#N/A
Pa_1_23640	Wave IV	MFS_1	PF07690.19
Pa_1_23650	0	Hexokinase_1	PF00349.24
Pa_1_23660	0	Myb_Cef	PF11831.11
Pa_1_23670	0	#N/A	#N/A
Pa_1_23680	0	TFCD_C	PF12612.11
Pa_1_23690	0	#N/A	#N/A
Pa_1_2370	0	ERO1	PF04137.18
Pa_1_23700	Wave IV	Glyco_hydro_76	PF03663.17
Pa_1_23710	Wave IV	#N/A	#N/A
Pa_1_23720	0	His_Phos_2	PF00328.25
Pa_1_23730	0	ANAPC4_WD40	PF12894.10
Pa_1_23740	0	AA_permease	PF00324.24
Pa_1_23743	Wave V	#N/A	#N/A
Pa_1_23748	0	#N/A	#N/A
Pa_1_23750	0	JAB	PF01398.24
Pa_1_23760	0	ADH_N	PF08240.15
Pa_1_23770	0	PX	PF00787.27
Pa_1_23780	0	EFG_C	PF00679.27
Pa_1_23790	0	adh_short	PF00106.28
Pa_1_2380	0	CKS	PF01111.22
Pa_1_23800	0	SRP54	PF00448.25
Pa_1_23810	0	ECM11	PF15463.9
Pa_1_23820	0	AAA_31	PF13614.9
Pa_1_23830	0	Cofilin_ADF	PF00241.23
Pa_1_23840	0	MoCF_biosynth	PF00994.27
Pa_1_23850	0	Arf	PF00025.24
Pa_1_23860	0	#N/A	#N/A
Pa_1_23870	Wave IV	Ion_trans_2	PF07885.19
Pa_1_23880	0	#N/A	#N/A
Pa_1_23890	0	Cullin	PF00888.25
Pa_1_2390	0	Bromodomain	PF00439.28
Pa_1_23900	0	#N/A	#N/A
Pa_1_23910	0	Mit_KHE1	PF10173.12
Pa_1_23920	0	Avl9	PF09794.12
Pa_1_23930	0	PK_Tyr_Ser-Thr	PF07714.20
Pa_1_23940	0	Phosphorylase	PF00343.23
Pa_1_23950	0	Arf	PF00025.24
Pa_1_23960	0	Actin	PF00022.22
Pa_1_23970	0	Ysc84	PF04366.15
Pa_1_23980	0	#N/A	#N/A
Pa_1_23990	0	IBR	PF01485.24
Pa_1_240	0	XLF	PF09302.14
Pa_1_2400	0	#N/A	#N/A
Pa_1_24000	0	GATA	PF00320.30
Pa_1_24010	0	KH_8	PF17903.4
Pa_1_24020	0	ADH_zinc_N	PF00107.29
Pa_1_24030	0	RNase_H2_suC	PF08615.14
Pa_1_24040	0	RNase_T	PF00929.27
Pa_1_24050	0	MOZ_SAS	PF01853.21
Pa_1_24060	0	MCM	PF00493.26
Pa_1_24070	0	Polysacc_deac_1	PF01522.24
Pa_1_24080	0	TRAPPC-Trs85	PF12739.10
Pa_1_24090	0	Snf7	PF03357.24
Pa_1_2410	0	FAD_binding_8	PF08022.15
Pa_1_24110	0	SAP	PF02037.30
Pa_1_24120	0	INCENP_ARK-bind	PF03941.18
Pa_1_24130	0	DnaJ	PF00226.34
Pa_1_24140	0	Aminotran_1_2	PF00155.24
Pa_1_24150	0	#N/A	#N/A
Pa_1_24160	0	F1F0-ATPsyn_F	PF10791.12
Pa_1_24170	0	NDUS4	PF04800.15
Pa_1_24180	0	CTLH	PF10607.12
Pa_1_24190	0	PRK	PF00485.21
Pa_1_2420	0	Myosin_head	PF00063.24
Pa_1_24200	0	EF-hand_1	PF00036.35
Pa_1_24210	0	DUF1077	PF06417.15
Pa_1_24220	0	Adaptin_N	PF01602.23
Pa_1_24230	0	MARVEL	PF01284.26
Pa_1_24240	0	PDZ	PF00595.27
Pa_1_24250	0	Nop53	PF07767.14
Pa_1_24260	0	Arf	PF00025.24
Pa_1_24270	0	Ribosomal_L24e	PF01246.23
Pa_1_24280	0	#N/A	#N/A
Pa_1_24290	0	Kei1	PF08552.14
Pa_1_2430	0	Glyco_transf_90	PF05686.15
Pa_1_24300	0	Flavodoxin_1	PF00258.28
Pa_1_24310	0	Chitin_synth_1	PF01644.20
Pa_1_24320	0	#N/A	#N/A
Pa_1_24330	0	#N/A	#N/A
Pa_1_24340	0	AAA_21	PF13304.9
Pa_1_24350	0	UMP1	PF05348.14
Pa_1_24360	0	Rad60-SLD_2	PF13881.9
Pa_1_24370	0	OPT	PF03169.18
Pa_1_24380	Wave IV	#N/A	#N/A
Pa_1_24390	0	#N/A	#N/A
Pa_1_2440	0	DHHC	PF01529.23
Pa_1_24400	0	Kinesin	PF00225.26
Pa_1_24410	Wave II	CMAS	PF02353.23
Pa_1_24420	Wave II	FAD_binding_3	PF01494.22
Pa_1_24430	0	#N/A	#N/A
Pa_1_24440	0	HATPase_c	PF02518.29
Pa_1_24450	Wave I	FAD_binding_1	PF00667.23
Pa_1_24460	0	#N/A	#N/A
Pa_1_24470	0	#N/A	#N/A
Pa_1_24480	Wave I	GMC_oxred_C	PF05199.16
Pa_1_24490	0	EBP	PF05241.15
Pa_1_2450	0	Cyclin_C	PF02984.22
Pa_1_24500	0	#N/A	#N/A
Pa_1_24510	Wave IV	CBM_1	PF00734.21
Pa_1_24520	0	CinA	PF02464.20
Pa_1_24530	0	Zn_clus	PF00172.21
Pa_1_24540	Wave V	Abhydrolase_3	PF07859.16
Pa_1_24550	0	APH	PF01636.26
Pa_1_24560	0	AAA	PF00004.32
Pa_1_24570	0	#N/A	#N/A
Pa_1_24580	0	Glyco_hydro_cc	PF11790.11
Pa_1_24590	0	adh_short	PF00106.28
Pa_1_2460	0	#N/A	#N/A
Pa_1_24600	0	Putative_PNPOx	PF01243.23
Pa_1_24610	0	#N/A	#N/A
Pa_1_24620	0	SET	PF00856.31
Pa_1_24630	Wave II	BBE	PF08031.15
Pa_1_24640	0	GDPD	PF03009.20
Pa_1_24650	0	AAA	PF00004.32
Pa_1_24660	0	Asp	PF00026.26
Pa_1_2470	Wave II	#N/A	#N/A
Pa_1_2480	0	ATP-synt_G	PF04718.18
Pa_1_2490	Wave V	ADH_N	PF08240.15
Pa_1_2495	0	#N/A	#N/A
Pa_1_250	0	Glyco_hydro_11	PF00457.20
Pa_1_2500	0	Bap31	PF05529.15
Pa_1_2510	0	DUF1479	PF07350.15
Pa_1_2520	0	#N/A	#N/A
Pa_1_2530	0	zf-met2	PF12907.10
Pa_1_2540	0	2OG-FeII_Oxy	PF03171.23
Pa_1_2550	0	WD40	PF00400.35
Pa_1_2560	0	RNA_pol_N	PF01194.20
Pa_1_2570	0	#N/A	#N/A
Pa_1_2580	0	#N/A	#N/A
Pa_1_2590	0	#N/A	#N/A
Pa_1_260	0	#N/A	#N/A
Pa_1_2600	0	LMBR1	PF04791.19
Pa_1_2610	0	CPSF_A	PF03178.18
Pa_1_2620	0	#N/A	#N/A
Pa_1_2630	0	Thg1	PF04446.15
Pa_1_2640	0	ANAPC4_WD40	PF12894.10
Pa_1_2650	0	RNA_pol_Rpb1_1	PF04997.15
Pa_1_2660	0	#N/A	#N/A
Pa_1_2670	0	HSP70	PF00012.23
Pa_1_2680	0	IF4E	PF01652.21
Pa_1_2690	0	AMP-binding	PF00501.31
Pa_1_270	0	#N/A	#N/A
Pa_1_2700	0	BolA	PF01722.21
Pa_1_2710	0	#N/A	#N/A
Pa_1_2720	0	Cpn60_TCP1	PF00118.27
Pa_1_2730	0	IBN_N	PF03810.22
Pa_1_2740	Wave V	3HCDH	PF00725.25
Pa_1_275	0	PBP	PF01161.23
Pa_1_2750	0	Pex2_Pex12	PF04757.17
Pa_1_2760	0	#N/A	#N/A
Pa_1_2770	0	#N/A	#N/A
Pa_1_278	0	#N/A	#N/A
Pa_1_2780	0	DSPc	PF00782.23
Pa_1_280	Wave IV	#N/A	#N/A
Pa_1_2800	0	Pcc1	PF09341.13
Pa_1_2810	0	ANAPC4_WD40	PF12894.10
Pa_1_2820	0	Exo_endo_phos	PF03372.26
Pa_1_2830	Wave IV	His_Phos_2	PF00328.25
Pa_1_2840	0	CRT10	PF08728.13
Pa_1_2850	0	Cellulase	PF00150.21
Pa_1_2860	0	7tm_2	PF00002.27
Pa_1_2870	0	Oxysterol_BP	PF01237.21
Pa_1_2880	0	#N/A	#N/A
Pa_1_2890	0	zf-CCCH	PF00642.27
Pa_1_290	0	#N/A	#N/A
Pa_1_2900	0	C2	PF00168.33
Pa_1_2910	0	ELMO_ARM	PF11841.11
Pa_1_2920	0	Abhydrolase_1	PF00561.23
Pa_1_2930	0	Ammonium_transp	PF00909.24
Pa_1_2935	0	#N/A	#N/A
Pa_1_2940	Wave IV	STAS	PF01740.24
Pa_1_295	Wave III	#N/A	#N/A
Pa_1_2950	0	RabGAP-TBC	PF00566.21
Pa_1_2960	Wave IV	#N/A	#N/A
Pa_1_2970	0	HlyIII	PF03006.23
Pa_1_2980	0	FmiP_Thoc5	PF09766.12
Pa_1_2990	0	Glyco_trans_2_3	PF13632.9
Pa_1_30	0	#N/A	#N/A
Pa_1_300	0	Fungal_trans	PF04082.21
Pa_1_3000	0	FKBP_C	PF00254.31
Pa_1_3010	Wave IV	PK_Tyr_Ser-Thr	PF07714.20
Pa_1_3020	0	Yos1	PF08571.13
Pa_1_3030	0	#N/A	#N/A
Pa_1_3040	0	Ad_cyc_g-alpha	PF08509.14
Pa_1_3050	0	RTC4	PF14474.9
Pa_1_3060	0	Dynamitin	PF04912.17
Pa_1_3070	0	ThiS	PF02597.23
Pa_1_3080	0	COG4	PF08318.15
Pa_1_3090	Wave II	Dynamin_M	PF01031.23
Pa_1_310	0	p450	PF00067.25
Pa_1_3100	0	adh_short	PF00106.28
Pa_1_3110	Wave II	IQ	PF00612.30
Pa_1_3120	Wave II	#N/A	#N/A
Pa_1_3130	Wave II	#N/A	#N/A
Pa_1_3140	0	TauD	PF02668.19
Pa_1_3150	Wave I	AAA_16	PF13191.9
Pa_1_3160	0	#N/A	#N/A
Pa_1_3170	0	zinc_ribbon_15	PF17032.8
Pa_1_3180	0	RNase_P_p30	PF01876.19
Pa_1_3190	0	#N/A	#N/A
Pa_1_320	0	ADH_N	PF08240.15
Pa_1_3200	0	#N/A	#N/A
Pa_1_3220	0	#N/A	#N/A
Pa_1_3230	0	VPS28	PF03997.15
Pa_1_3240	0	Noc2	PF03715.16
Pa_1_3250	0	DUF726	PF05277.15
Pa_1_3260	0	zf-C3HC4	PF00097.28
Pa_1_3270	0	Ada3	PF10198.12
Pa_1_3280	Wave IV	DUF3419	PF11899.11
Pa_1_3290	Wave II	Zn_clus	PF00172.21
Pa_1_330	0	#N/A	#N/A
Pa_1_3300	0	CybS	PF05328.15
Pa_1_3310	0	#N/A	#N/A
Pa_1_3320	0	tRNA-synt_1b	PF00579.28
Pa_1_3330	0	NPR2	PF06218.14
Pa_1_3340	0	DUF2451	PF10474.12
Pa_1_3350	0	EF-hand_1	PF00036.35
Pa_1_3360	Wave IV	DUF3176	PF11374.11
Pa_1_3370	0	#N/A	#N/A
Pa_1_3380	Wave IV	#N/A	#N/A
Pa_1_3385	0	#N/A	#N/A
Pa_1_3390	0	SET	PF00856.31
Pa_1_340	0	#N/A	#N/A
Pa_1_3400	0	Pribosyltran	PF00156.30
Pa_1_3410	0	Glyco_hydro_47	PF01532.23
Pa_1_3420	0	#N/A	#N/A
Pa_1_3430	0	#N/A	#N/A
Pa_1_3440	0	#N/A	#N/A
Pa_1_3450	0	adh_short	PF00106.28
Pa_1_3460	0	FAD_binding_6	PF00970.27
Pa_1_3470	0	Acetyltransf_1	PF00583.28
Pa_1_3480	0	Ost5	PF05251.15
Pa_1_3485	0	#N/A	#N/A
Pa_1_3490	0	Aldose_epim	PF01263.23
Pa_1_350	Wave I	Methyltransf_11	PF08241.15
Pa_1_3500	0	F-box	PF00646.36
Pa_1_3510	0	#N/A	#N/A
Pa_1_3520	0	HYPK_UBA	PF19026.3
Pa_1_3530	0	DAHP_synth_2	PF01474.19
Pa_1_3540	0	SprT-like	PF10263.12
Pa_1_3545	0	#N/A	#N/A
Pa_1_3550	0	#N/A	#N/A
Pa_1_3560	0	#N/A	#N/A
Pa_1_3570	0	PI-PLC-X	PF00388.22
Pa_1_3580	0	#N/A	#N/A
Pa_1_3590	0	Kre9_KNH	PF10342.12
Pa_1_360	0	Fungal_trans_2	PF11951.11
Pa_1_3600	0	Tubulin	PF00091.28
Pa_1_3610	0	RRM_1	PF00076.25
Pa_1_3620	0	Sds3	PF08598.14
Pa_1_3630	0	Coa3_cc	PF09813.12
Pa_1_3640	0	SYMPK_PTA1_N	PF11935.11
Pa_1_3650	0	#N/A	#N/A
Pa_1_3660	0	#N/A	#N/A
Pa_1_3670	0	MFS_1	PF07690.19
Pa_1_3680	0	Anthrone_oxy	PF08592.14
Pa_1_3690	0	#N/A	#N/A
Pa_1_3695	0	#N/A	#N/A
Pa_1_3698	0	#N/A	#N/A
Pa_1_370	0	NmrA	PF05368.16
Pa_1_3700	0	MaoC_dehydratas	PF01575.22
Pa_1_3710	0	CAP_GLY	PF01302.28
Pa_1_3720	0	#N/A	#N/A
Pa_1_3730	0	WD40	PF00400.35
Pa_1_3740	0	ATP-synt_E	PF05680.15
Pa_1_3750	0	Fungal_trans	PF04082.21
Pa_1_3760	0	#N/A	#N/A
Pa_1_3770	0	#N/A	#N/A
Pa_1_3780	0	Acetyltransf_3	PF13302.10
Pa_1_3790	0	Ribosomal_L18A	PF01775.20
Pa_1_380	Wave II	#N/A	#N/A
Pa_1_3800	0	PCI	PF01399.30
Pa_1_3810	Wave III	BTB	PF00651.34
Pa_1_3820	0	#N/A	#N/A
Pa_1_3830	0	LRR_4	PF12799.10
Pa_1_3840	0	Aldo_ket_red	PF00248.24
Pa_1_3850	0	UCH	PF00443.32
Pa_1_3860	0	ABC_membrane_2	PF06472.18
Pa_1_3870	0	NIF	PF03031.21
Pa_1_3880	0	Sec61_beta	PF03911.19
Pa_1_3890	0	Rif1_N	PF12231.11
Pa_1_390	Wave II	Fructosamin_kin	PF03881.17
Pa_1_3900	0	Ric8	PF10165.12
Pa_1_3910	0	PQ-loop	PF04193.17
Pa_1_3920	0	Choline_sulf_C	PF12411.11
Pa_1_3930	0	Med8	PF10232.12
Pa_1_3940	0	Acyl_transf_3	PF01757.25
Pa_1_3950	0	Kinase-like	PF14531.9
Pa_1_3960	0	UQ_con	PF00179.29
Pa_1_3970	0	Ribosomal_L31e	PF01198.22
Pa_1_3980	0	RGS	PF00615.22
Pa_1_3985	0	#N/A	#N/A
Pa_1_3990	0	#N/A	#N/A
Pa_1_40	0	#N/A	#N/A
Pa_1_400	0	#N/A	#N/A
Pa_1_4000	0	E1-E2_ATPase	PF00122.23
Pa_1_4010	0	Chromo	PF00385.27
Pa_1_4020	0	Anticodon_3	PF19303.2
Pa_1_4030	0	Amidase	PF01425.24
Pa_1_4040	0	ANAPC4_WD40	PF12894.10
Pa_1_4050	0	ABC_membrane	PF00664.26
Pa_1_4060	0	#N/A	#N/A
Pa_1_4070	0	NAD_binding_7	PF13241.9
Pa_1_4080	0	ADH_N	PF08240.15
Pa_1_4090	0	Torus	PF16131.8
Pa_1_410	0	GRDP-like	PF07173.15
Pa_1_4100	0	DUF1776	PF08643.13
Pa_1_4110	0	DUF155	PF02582.17
Pa_1_4120	0	#N/A	#N/A
Pa_1_4130	0	#N/A	#N/A
Pa_1_4140	0	R3H	PF01424.25
Pa_1_4150	0	Abhydrolase_1	PF00561.23
Pa_1_4160	0	zf-LYAR	PF08790.14
Pa_1_4170	0	Pex2_Pex12	PF04757.17
Pa_1_4180	0	EXS	PF03124.17
Pa_1_4190	0	#N/A	#N/A
Pa_1_420	0	PK_Tyr_Ser-Thr	PF07714.20
Pa_1_4200	0	NUDIX	PF00293.31
Pa_1_4220	0	Ctr	PF04145.18
Pa_1_4230	0	3-HAO	PF06052.15
Pa_1_4240	0	FAA_hydrolase	PF01557.21
Pa_1_4250	0	#N/A	#N/A
Pa_1_4260	0	PWI	PF01480.20
Pa_1_4270	0	NuA4	PF09340.13
Pa_1_4280	0	Peptidase_S9	PF00326.24
Pa_1_4290	0	Rad21_Rec8	PF04824.19
Pa_1_430	0	#N/A	#N/A
Pa_1_4300	0	Cation_ATPase	PF13246.9
Pa_1_4310	Wave IV	#N/A	#N/A
Pa_1_4320	0	#N/A	#N/A
Pa_1_4330	0	#N/A	#N/A
Pa_1_4340	Wave V	Methyltransf_16	PF10294.12
Pa_1_4350	0	#N/A	#N/A
Pa_1_4360	0	#N/A	#N/A
Pa_1_4370	0	Dynein_light	PF01221.21
Pa_1_4380	0	RRM_1	PF00076.25
Pa_1_4390	0	TEA	PF01285.21
Pa_1_440	Wave III	#N/A	#N/A
Pa_1_4400	0	#N/A	#N/A
Pa_1_4410	0	Pro_isomerase	PF00160.24
Pa_1_4420	0	Transp_cyt_pur	PF02133.18
Pa_1_4430	0	Dus	PF01207.20
Pa_1_4440	0	Kelch_1	PF01344.28
Pa_1_4450	0	HIG_1_N	PF04588.16
Pa_1_4460	0	zf-C2H2_4	PF13894.9
Pa_1_4470	0	p450	PF00067.25
Pa_1_4480	0	#N/A	#N/A
Pa_1_4490	0	Kinesin	PF00225.26
Pa_1_45	0	Lipase_GDSL_2	PF13472.9
Pa_1_450	0	#N/A	#N/A
Pa_1_4500	0	cNMP_binding	PF00027.32
Pa_1_4510	0	Sld5	PF05916.14
Pa_1_4520	0	AAA	PF00004.32
Pa_1_4530	0	Arf	PF00025.24
Pa_1_4540	0	EMP24_GP25L	PF01105.27
Pa_1_4550	0	DUF3405	PF11885.11
Pa_1_4560	Wave III	HSP70	PF00012.23
Pa_1_4570	0	Peroxin-13_N	PF04088.16
Pa_1_4580	0	TFIIA	PF03153.16
Pa_1_4590	Wave IV	ANAPC4_WD40	PF12894.10
Pa_1_460	0	#N/A	#N/A
Pa_1_4600	0	BTB	PF00651.34
Pa_1_4610	0	Cullin	PF00888.25
Pa_1_4620	0	zf-DNL	PF05180.15
Pa_1_4630	0	DRIM	PF07539.15
Pa_1_4640	0	CwfJ_C_1	PF04677.18
Pa_1_4650	0	Rhodanese	PF00581.23
